station_id,level,sort_order,exercise_id,dose,primary_pillar,secondary_pillar,load,list,where_setting,best_with
run,Development,8,EX0038,Heavy,Balanced Athleticism,,High,Core list,Home or gym,Solo OK
run,Development,9,EX0039,4 × 30 m,Economy,Balanced Athleticism,Moderate,Core list,Home or gym,Solo OK
run,Development,10,EX0040,,Balanced Athleticism,,Moderate,Core list,Home or gym,Solo OK
run,Development,11,EX0041,3 × 10 min,Threshold,,High,Core list,Outdoor or track,Solo OK
run,Development,12,EX0042,At 5 km pace,Threshold,,High,Core list,Outdoor or track,Solo OK
run,Development,13,EX0043,At 10 km pace,Threshold,,High,Core list,Outdoor or track,Solo OK
run,Development,14,EX0044,AM / PM sessions,Threshold,Aerobic Engine,High,Core list,Outdoor or track,Solo OK
run,Development,15,EX0045,,Aerobic Engine,Durability,Moderate,Core list,Outdoor or track,Solo OK
run,Development,16,EX0046,,Threshold,Balanced Athleticism,High,Core list,Gym,Solo OK
run,Development,17,EX0047,Heavy,Balanced Athleticism,,High,Core list,Gym,Solo OK
run,Development,18,EX0048,,Economy,Balanced Athleticism,Moderate,Core list,Home or gym,Solo OK
run,Development,19,EX0049,20 m (acceleration),Economy,Balanced Athleticism,High,Core list,Gym,Solo OK
run,Development,20,EX0050,Heavy,Balanced Athleticism,,Moderate,Core list,Home or gym,Solo OK
run,Development,21,EX0022,Weighted,Balanced Athleticism,,Moderate,Added,Home or gym,Solo OK
run,Development,22,EX0051,,Balanced Athleticism,,High,Added,Gym,Solo OK
run,Development,23,EX0052,Heavy,Balanced Athleticism,,High,Added,Gym,Solo OK
run,Development,24,EX0007,Heavy,Balanced Athleticism,,Moderate,Added,Home or gym,Solo OK
run,Development,25,EX0053,,Economy,Balanced Athleticism,Moderate,Added,Home or gym,Solo OK
run,Development,26,EX0054,,Economy,Balanced Athleticism,Moderate,Added,Home or gym,Solo OK
run,Development,27,EX0055,Low box,Economy,Balanced Athleticism,Moderate,Added,Home or gym,Coach helpful
run,Development,28,EX0056,,Balanced Athleticism,,Moderate,Added,Gym,Solo OK
run,Development,29,EX0016,Weighted,Balanced Athleticism,Durability,Moderate,Added,Home or gym,Solo OK
shortrun,Foundation,1,EX0001,"30–45 min, Zone 2",Aerobic Engine,Fatigue Management,Low,Core list,Outdoor or track,Solo OK
shortrun,Foundation,2,EX0057,6 × 20 s strides,Aerobic Engine,Economy,Low,Core list,Outdoor or track,Solo OK
shortrun,Foundation,3,EX0004,,Economy,Balanced Athleticism,Low,Core list,Outdoor or track,Solo OK
shortrun,Foundation,4,EX0058,Acceleration posture,Economy,,Low,Core list,Home or gym,Solo OK
shortrun,Foundation,5,EX0059,,Economy,,Low,Core list,Home or gym,Solo OK
shortrun,Foundation,6,EX0060,,Economy,,Low,Core list,Home or gym,Solo OK
shortrun,Foundation,7,EX0013,3 × 1 min,Economy,Aerobic Engine,Low,Core list,Home or gym,Solo OK
shortrun,Foundation,8,EX0009,,Economy,Balanced Athleticism,Low,Core list,Home or gym,Solo OK
shortrun,Foundation,9,EX0061,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
shortrun,Foundation,10,EX0015,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
shortrun,Foundation,11,EX0006,Bodyweight,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
shortrun,Foundation,12,EX0008,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
shortrun,Foundation,13,EX0007,,Balanced Athleticism,Durability,Low,Core list,Home or gym,Solo OK
shortrun,Foundation,14,EX0010,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
shortrun,Foundation,15,EX0062,"10 × 200 m, walk-back recovery",Economy,Aerobic Engine,Low,Core list,Outdoor or track,Solo OK
shortrun,Foundation,16,EX0002,400 m repeats,Aerobic Engine,Fatigue Management,Low,Core list,Outdoor or track,Solo OK
shortrun,Foundation,17,EX0063,,Balanced Athleticism,Fatigue Management,Low,Core list,Home or gym,Solo OK
shortrun,Foundation,18,EX0017,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
shortrun,Foundation,19,EX0064,20 s efforts,Economy,,Low,Core list,Home or gym,Solo OK
shortrun,Foundation,20,EX0021,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
shortrun,Foundation,21,EX0022,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
shortrun,Foundation,22,EX0024,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
shortrun,Foundation,23,EX0026,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
shortrun,Foundation,24,EX0029,,Balanced Athleticism,Durability,Low,Added,Home or gym,Solo OK
shortrun,Foundation,25,EX0023,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
shortrun,Foundation,26,EX0065,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
shortrun,Foundation,27,EX0028,Knee-to-wall,Balanced Athleticism,Fatigue Management,Low,Added,Home or gym,Solo OK
shortrun,Development,1,EX0042,"12 × at 5 km pace, 60 s rest",Threshold,,High,Core list,Outdoor or track,Solo OK
shortrun,Development,2,EX0043,6 × at 10 km pace,Threshold,,High,Core list,Outdoor or track,Solo OK
shortrun,Development,3,EX0066,10 × at mile pace,Threshold,Economy,High,Core list,Outdoor or track,Solo OK
shortrun,Development,4,EX0031,20 min,Threshold,,Moderate,Core list,Outdoor or track,Solo OK
shortrun,Development,5,EX0067,10 × 15 s,Economy,Balanced Athleticism,High,Core list,Outdoor or track,Solo OK
shortrun,Development,6,EX0068,30 s on / 30 s off × 16,Threshold,,High,Core list,Outdoor or track,Group-friendly
shortrun,Development,7,EX0069,200-400-600-800-600-400-200 m,Threshold,,High,Core list,Outdoor or track,Solo OK
shortrun,Development,8,EX0070,30 m,Economy,Balanced Athleticism,High,Core list,Outdoor or track,Solo OK
shortrun,Development,9,EX0039,4 × 30 m,Economy,Balanced Athleticism,Moderate,Core list,Home or gym,Solo OK
shortrun,Development,10,EX0048,,Economy,Balanced Athleticism,Moderate,Core list,Home or gym,Solo OK
shortrun,Development,11,EX0041,5 × 1 km,Threshold,,High,Core list,Outdoor or track,Solo OK
shortrun,Development,12,EX0037,1 min hard / 1 min easy × 10,Threshold,Aerobic Engine,Moderate,Core list,Outdoor or track,Solo OK
shortrun,Development,13,EX0042,3 sets × (4 × 400 m),Threshold,,High,Core list,Outdoor or track,Solo OK
shortrun,Development,14,EX0047,,Balanced Athleticism,,High,Core list,Gym,Solo OK
shortrun,Development,15,EX0006,Heavy,Balanced Athleticism,,High,Core list,Home or gym,Solo OK
shortrun,Development,16,EX0040,,Balanced Athleticism,,Moderate,Core list,Home or gym,Solo OK
shortrun,Development,17,EX0050,Heavy,Balanced Athleticism,,Moderate,Core list,Home or gym,Solo OK
shortrun,Development,18,EX0053,,Economy,Balanced Athleticism,Moderate,Core list,Home or gym,Solo OK
shortrun,Development,19,EX0049,20 m,Economy,Balanced Athleticism,High,Core list,Gym,Solo OK
shortrun,Development,20,EX0034,60–75 min,Aerobic Engine,Durability,Moderate,Core list,Outdoor or track,Solo OK
shortrun,Development,21,EX0038,,Balanced Athleticism,,Moderate,Added,Home or gym,Solo OK
shortrun,Development,22,EX0022,Weighted,Balanced Athleticism,,Moderate,Added,Home or gym,Solo OK
shortrun,Development,23,EX0052,Heavy,Balanced Athleticism,,High,Added,Gym,Solo OK
shortrun,Development,24,EX0054,,Economy,Balanced Athleticism,Moderate,Added,Home or gym,Solo OK
shortrun,Development,25,EX0055,Low box,Economy,Balanced Athleticism,Moderate,Added,Home or gym,Coach helpful
shortrun,Development,26,EX0071,,Balanced Athleticism,Economy,High,Added,Gym,Coach helpful
shortrun,Development,27,EX0056,,Balanced Athleticism,,Moderate,Added,Gym,Solo OK
shortrun,Development,28,EX0041,3 × 1600 m,Threshold,,High,Added,Outdoor or track,Solo OK
ski,Foundation,1,EX0072,"10–20 min, Zone 2",Aerobic Engine,Fatigue Management,Low,Core list,Gym,Solo OK
ski,Foundation,2,EX0073,,Economy,,Low,Core list,Gym,Solo OK
ski,Foundation,3,EX0074,No knee bend,Economy,,Low,Core list,Gym,Solo OK
ski,Foundation,4,EX0075,,Balanced Athleticism,Economy,Low,Core list,Gym,Solo OK
ski,Foundation,5,EX0076,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
ski,Foundation,6,EX0077,,Balanced Athleticism,Durability,Moderate,Core list,Home or gym,Solo OK
ski,Foundation,7,EX0078,,Balanced Athleticism,,Low,Core list,Gym,Solo OK
ski,Foundation,8,EX0079,,Balanced Athleticism,,Low,Core list,Gym,Solo OK
ski,Foundation,9,EX0080,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
ski,Foundation,10,EX0081,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
ski,Foundation,11,EX0082,With dowel,Economy,Balanced Athleticism,Low,Core list,Home or gym,Solo OK
ski,Foundation,12,EX0083,,Balanced Athleticism,,Low,Core list,Gym,Solo OK
ski,Foundation,13,EX0084,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
ski,Foundation,14,EX0085,,Balanced Athleticism,,Low,Core list,Gym,Solo OK
ski,Foundation,15,EX0086,Kneeling,Balanced Athleticism,,Moderate,Core list,Home or gym,Solo OK
ski,Foundation,16,EX0087,,Balanced Athleticism,Fatigue Management,Low,Core list,Home or gym,Solo OK
ski,Foundation,17,EX0008,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
ski,Foundation,18,EX0088,,Balanced Athleticism,Economy,Low,Core list,Home or gym,Solo OK
ski,Foundation,19,EX0089,5 × 2 min,Economy,Aerobic Engine,Low,Core list,Gym,Solo OK
ski,Foundation,20,EX0090,,Balanced Athleticism,Fatigue Management,Low,Core list,Home or gym,Solo OK
ski,Foundation,21,EX0091,Light,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
ski,Foundation,22,EX0092,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
ski,Foundation,23,EX0093,,Balanced Athleticism,,Low,Added,Gym,Solo OK
ski,Foundation,24,EX0094,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
ski,Foundation,25,EX0010,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
ski,Foundation,26,EX0095,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
ski,Foundation,27,EX0027,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
ski,Foundation,28,EX0026,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
ski,Development,1,EX0096,"5 × 500 m, 90 s rest",Threshold,,High,Core list,Gym,Solo OK
ski,Development,2,EX0097,10 × 1 min on / 1 min off,Threshold,,High,Core list,Gym,Group-friendly
ski,Development,3,EX0098,3 × 1000 m,Threshold,Aerobic Engine,Moderate,Core list,Gym,Solo OK
ski,Development,4,EX0099,250-500-750-500-250 m,Threshold,,High,Core list,Gym,Solo OK
ski,Development,5,EX0075,Heavy,Balanced Athleticism,,Moderate,Core list,Gym,Solo OK
ski,Development,6,EX0091,,Balanced Athleticism,,Moderate,Core list,Home or gym,Solo OK
ski,Development,7,EX0100,,Balanced Athleticism,,High,Core list,Gym,Solo OK
ski,Development,8,EX0101,,Balanced Athleticism,Threshold,Moderate,Core list,Home or gym,Solo OK
ski,Development,9,EX0102,Or close-grip push-up,Balanced Athleticism,,Moderate,Core list,Gym,Solo OK
ski,Development,10,EX0103,40 / 45 / 50 spm,Economy,Threshold,Moderate,Core list,Gym,Solo OK
ski,Development,11,EX0104,20 × 30 s on / 30 s off,Threshold,,High,Core list,Gym,Group-friendly
ski,Development,12,EX0096,4 × 4 min,Threshold,,High,Core list,Gym,Solo OK
ski,Development,13,EX0105,2000 m,Aerobic Engine,,Moderate,Core list,Gym,Solo OK
ski,Development,14,EX0106,500 m ski + 400 m run × 4,Fatigue Management,Threshold,High,Core list,Gym,Solo OK
ski,Development,15,EX0107,,Economy,Balanced Athleticism,Moderate,Core list,Gym,Solo OK
ski,Development,16,EX0077,Heavy,Balanced Athleticism,,High,Core list,Home or gym,Solo OK
ski,Development,17,EX0108,,Balanced Athleticism,,Moderate,Core list,Gym,Solo OK
ski,Development,18,EX0109,,Balanced Athleticism,,Moderate,Core list,Gym,Solo OK
ski,Development,19,EX0110,,Balanced Athleticism,,Moderate,Core list,Home or gym,Solo OK
ski,Development,20,EX0111,,Balanced Athleticism,,Moderate,Core list,Gym,Solo OK
ski,Development,21,EX0112,,Balanced Athleticism,,High,Added,Gym,Solo OK
ski,Development,22,EX0113,,Balanced Athleticism,,Moderate,Added,Home or gym,Solo OK
ski,Development,23,EX0086,,Balanced Athleticism,,Moderate,Added,Home or gym,Solo OK
ski,Development,24,EX0114,,Balanced Athleticism,,Moderate,Added,Gym,Solo OK
ski,Development,25,EX0115,,Balanced Athleticism,,Moderate,Added,Home or gym,Solo OK
ski,Development,26,EX0047,,Balanced Athleticism,,High,Added,Gym,Solo OK
ski,Development,27,EX0116,,Balanced Athleticism,,Moderate,Added,Home or gym,Solo OK
ski,Development,28,EX0117,,Balanced Athleticism,,High,Added,Gym,Solo OK
row,Foundation,1,EX0118,"20 min, Zone 2",Aerobic Engine,Fatigue Management,Low,Core list,Gym,Solo OK
row,Foundation,2,EX0119,Arms → body → legs,Economy,,Low,Core list,Gym,Solo OK
row,Foundation,3,EX0120,,Economy,,Low,Core list,Gym,Solo OK
row,Foundation,4,EX0121,,Economy,,Low,Core list,Gym,Solo OK
row,Foundation,5,EX0076,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
row,Foundation,6,EX0093,,Balanced Athleticism,,Low,Core list,Gym,Solo OK
row,Foundation,7,EX0122,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
row,Foundation,8,EX0123,,Balanced Athleticism,Fatigue Management,Low,Core list,Home or gym,Solo OK
row,Foundation,9,EX0095,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
row,Foundation,10,EX0124,,Economy,,Low,Core list,Gym,Solo OK
row,Foundation,11,EX0082,With dowel,Economy,Balanced Athleticism,Low,Core list,Home or gym,Solo OK
row,Foundation,12,EX0125,,Economy,,Low,Core list,Gym,Solo OK
row,Foundation,13,EX0126,Strap-free control,Economy,,Low,Core list,Gym,Solo OK
row,Foundation,14,EX0008,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
row,Foundation,15,EX0081,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
row,Foundation,16,EX0028,,Balanced Athleticism,Fatigue Management,Low,Core list,Home or gym,Solo OK
row,Foundation,17,EX0127,10 × 1 min,Economy,Aerobic Engine,Low,Core list,Gym,Solo OK
row,Foundation,18,EX0080,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
row,Foundation,19,EX0010,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
row,Foundation,20,EX0128,Seated,Economy,,Low,Core list,Gym,Solo OK
row,Foundation,21,EX0129,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
row,Foundation,22,EX0094,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
row,Foundation,23,EX0026,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
row,Foundation,24,EX0130,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
row,Foundation,25,EX0131,Single-arm,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
row,Foundation,26,EX0027,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
row,Foundation,27,EX0063,,Balanced Athleticism,Fatigue Management,Low,Added,Home or gym,Solo OK
row,Foundation,28,EX0087,,Balanced Athleticism,Fatigue Management,Low,Added,Home or gym,Solo OK
row,Development,1,EX0132,5 × 500 m,Threshold,,High,Core list,Gym,Solo OK
row,Development,2,EX0133,3 × 2000 m,Aerobic Engine,,Moderate,Core list,Gym,Solo OK
row,Development,3,EX0134,8 × 250 m,Threshold,,High,Core list,Gym,Solo OK
row,Development,4,EX0135,20 / 22 / 24 / 26 spm,Economy,Threshold,Moderate,Core list,Gym,Solo OK
row,Development,5,EX0133,30 min,Aerobic Engine,,Moderate,Core list,Gym,Solo OK
row,Development,6,EX0091,,Balanced Athleticism,,Moderate,Core list,Home or gym,Solo OK
row,Development,7,EX0052,,Balanced Athleticism,,Moderate,Core list,Gym,Solo OK
row,Development,8,EX0112,,Balanced Athleticism,,High,Core list,Gym,Solo OK
row,Development,9,EX0077,Heavy,Balanced Athleticism,,High,Core list,Home or gym,Solo OK
row,Development,10,EX0136,10 × 30 s on / 30 s off,Threshold,,High,Core list,Gym,Group-friendly
row,Development,11,EX0132,4 × 1000 m,Threshold,,High,Core list,Gym,Solo OK
row,Development,12,EX0133,2 × 15 min at rate 22,Aerobic Engine,Economy,Moderate,Core list,Gym,Solo OK
row,Development,13,EX0137,Heavy,Balanced Athleticism,,High,Core list,Gym,Solo OK
row,Development,14,EX0138,,Balanced Athleticism,,Moderate,Core list,Gym,Solo OK
row,Development,15,EX0109,,Balanced Athleticism,,Moderate,Core list,Gym,Solo OK
row,Development,16,EX0139,,Balanced Athleticism,,High,Core list,Gym,Solo OK
row,Development,17,EX0134,"6 × 500 m, short rest",Threshold,,High,Core list,Gym,Solo OK
row,Development,18,EX0140,60 s,Threshold,Balanced Athleticism,High,Core list,Gym,Solo OK
row,Development,19,EX0141,,Threshold,,High,Core list,Gym,Solo OK
row,Development,20,EX0142,Rate 20,Economy,Balanced Athleticism,Moderate,Core list,Gym,Solo OK
row,Development,21,EX0143,,Balanced Athleticism,,High,Added,Gym,Solo OK
row,Development,22,EX0144,,Balanced Athleticism,,High,Added,Gym,Solo OK
row,Development,23,EX0113,,Balanced Athleticism,,Moderate,Added,Home or gym,Solo OK
row,Development,24,EX0047,,Balanced Athleticism,,High,Added,Gym,Solo OK
row,Development,25,EX0071,,Balanced Athleticism,Economy,High,Added,Gym,Coach helpful
row,Development,26,EX0053,,Economy,Balanced Athleticism,Moderate,Added,Home or gym,Solo OK
row,Development,27,EX0114,,Balanced Athleticism,,Moderate,Added,Gym,Solo OK
row,Development,28,EX0145,Weighted,Balanced Athleticism,,Moderate,Added,Gym,Solo OK
bike,Foundation,1,EX0146,"20–30 min, Zone 2",Aerobic Engine,Fatigue Management,Low,Core list,Gym,Solo OK
bike,Foundation,2,EX0147,Saddle height and position,Economy,,Low,Core list,Gym,Solo OK
bike,Foundation,3,EX0148,85–95 rpm,Economy,,Low,Core list,Gym,Solo OK
bike,Foundation,4,EX0149,4 × 30 s each leg,Economy,,Low,Core list,Gym,Solo OK
bike,Foundation,5,EX0150,,Economy,,Low,Core list,Gym,Solo OK
bike,Foundation,6,EX0151,,Economy,,Low,Core list,Gym,Solo OK
bike,Foundation,7,EX0122,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
bike,Foundation,8,EX0022,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
bike,Foundation,9,EX0008,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
bike,Foundation,10,EX0137,,Balanced Athleticism,,Moderate,Core list,Gym,Solo OK
bike,Foundation,11,EX0061,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
bike,Foundation,12,EX0152,,Balanced Athleticism,Fatigue Management,Low,Core list,Home or gym,Solo OK
bike,Foundation,13,EX0123,,Balanced Athleticism,Fatigue Management,Low,Core list,Home or gym,Solo OK
bike,Foundation,14,EX0010,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
bike,Foundation,15,EX0095,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
bike,Foundation,16,EX0153,,Economy,,Low,Core list,Gym,Solo OK
bike,Foundation,17,EX0154,10 × 1 min steady,Aerobic Engine,,Low,Core list,Gym,Solo OK
bike,Foundation,18,EX0155,,Fatigue Management,Aerobic Engine,Low,Core list,Gym,Solo OK
bike,Foundation,19,EX0156,,Balanced Athleticism,Durability,Low,Core list,Home or gym,Solo OK
bike,Foundation,20,EX0157,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
bike,Foundation,21,EX0024,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
bike,Foundation,22,EX0021,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
bike,Foundation,23,EX0026,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
bike,Foundation,24,EX0017,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
bike,Foundation,25,EX0028,Knee-to-wall,Balanced Athleticism,Fatigue Management,Low,Added,Home or gym,Solo OK
bike,Development,1,EX0158,5 × 4 min,Threshold,,High,Core list,Gym,Solo OK
bike,Development,2,EX0159,3 × 10 min,Threshold,Aerobic Engine,Moderate,Core list,Gym,Solo OK
bike,Development,3,EX0097,10 × 1 min on / 1 min off,Threshold,,High,Core list,Gym,Group-friendly
bike,Development,4,EX0104,20 × 30 s on / 30 s off,Threshold,,High,Core list,Gym,Group-friendly
bike,Development,5,EX0160,1-2-3-4-3-2-1 min,Threshold,,High,Core list,Gym,Solo OK
bike,Development,6,EX0161,40 min,Aerobic Engine,,Moderate,Core list,Gym,Solo OK
bike,Development,7,EX0162,2 min over / 2 min under × 4,Threshold,,High,Core list,Gym,Solo OK
bike,Development,8,EX0163,6 × 1000 m,Threshold,,High,Core list,Gym,Solo OK
bike,Development,9,EX0164,Low cadence,Balanced Athleticism,Threshold,Moderate,Core list,Gym,Solo OK
bike,Development,10,EX0165,8 × 15 s,Threshold,Balanced Athleticism,High,Core list,Gym,Solo OK
bike,Development,11,EX0144,,Balanced Athleticism,,High,Core list,Gym,Solo OK
bike,Development,12,EX0143,,Balanced Athleticism,,High,Core list,Gym,Solo OK
bike,Development,13,EX0038,,Balanced Athleticism,,Moderate,Core list,Home or gym,Solo OK
bike,Development,14,EX0166,,Balanced Athleticism,,Low,Core list,Gym,Solo OK
bike,Development,15,EX0052,,Balanced Athleticism,,Moderate,Core list,Gym,Solo OK
bike,Development,16,EX0137,High reps,Durability,Balanced Athleticism,Moderate,Core list,Gym,Solo OK
bike,Development,17,EX0167,30 min bike + 20 min run,Fatigue Management,Aerobic Engine,Moderate,Core list,Gym,Solo OK
bike,Development,18,EX0161,"2 × 20 min, Zone 3",Aerobic Engine,Threshold,Moderate,Core list,Gym,Solo OK
bike,Development,19,EX0168,,Threshold,Economy,Moderate,Core list,Gym,Solo OK
bike,Development,20,EX0169,,Balanced Athleticism,,Moderate,Core list,Gym,Solo OK
bike,Development,21,EX0016,Weighted,Balanced Athleticism,Durability,Moderate,Added,Home or gym,Solo OK
bike,Development,22,EX0022,Heavy,Balanced Athleticism,,High,Added,Home or gym,Solo OK
bike,Development,23,EX0056,,Balanced Athleticism,,Moderate,Added,Gym,Solo OK
bike,Development,24,EX0053,,Economy,Balanced Athleticism,Moderate,Added,Home or gym,Solo OK
bike,Development,25,EX0047,,Balanced Athleticism,,High,Added,Gym,Solo OK
airbike,Foundation,1,EX0170,10–15 min,Aerobic Engine,Fatigue Management,Low,Core list,Gym,Solo OK
airbike,Foundation,2,EX0171,,Economy,,Low,Core list,Gym,Solo OK
airbike,Foundation,3,EX0120,,Economy,,Low,Core list,Gym,Solo OK
airbike,Foundation,4,EX0172,,Economy,,Low,Core list,Gym,Solo OK
airbike,Foundation,5,EX0173,,Economy,,Low,Core list,Gym,Solo OK
airbike,Foundation,6,EX0174,,Economy,,Low,Core list,Gym,Solo OK
airbike,Foundation,7,EX0122,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
airbike,Foundation,8,EX0175,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
airbike,Foundation,9,EX0129,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
airbike,Foundation,10,EX0022,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
airbike,Foundation,11,EX0008,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
airbike,Foundation,12,EX0095,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
airbike,Foundation,13,EX0176,10 × 30 s moderate,Aerobic Engine,Economy,Low,Core list,Gym,Solo OK
airbike,Foundation,14,EX0177,Easy pace,Economy,Fatigue Management,Low,Core list,Gym,Solo OK
