id,name,movement_pattern,equipment,equipment_options,primary_pillar,secondary_pillar,where_setting,best_with
EX0076,Kettlebell deadlift,Hinge,Kettlebell,"[[""Kettlebell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0077,Kettlebell swing,Olympic / power,Kettlebell,"[[""Kettlebell""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0078,Rope triceps pushdown,Upper push,Cable machine,"[[""Cable machine""]]",Balanced Athleticism,,Gym,Solo OK
EX0079,Cable crunch,Core,Cable machine,"[[""Cable machine""]]",Balanced Athleticism,,Gym,Solo OK
EX0080,Hollow hold,Core,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0081,Band pull-apart,Upper pull,Band,"[[""Band""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0082,Hip hinge drill,Hinge,Dowel,"[[""Dowel""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0083,Scapular pull-up,Upper pull,Pull-up bar,"[[""Pull-up bar""]]",Balanced Athleticism,,Gym,Solo OK
EX0084,Dumbbell pullover,Upper pull,Dumbbell + Bench,"[[""Dumbbell"", ""Bench""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0085,Half-kneeling cable pulldown,Upper pull,Cable machine,"[[""Cable machine""]]",Balanced Athleticism,,Gym,Solo OK
EX0086,Ab wheel rollout,Core,Ab wheel,"[[""Ab wheel""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0087,Thoracic spine mobility,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Fatigue Management,Home or gym,Solo OK
EX0088,Band straight-arm pulldown,Upper pull,Band,"[[""Band""]]",Balanced Athleticism,Economy,Home or gym,Solo OK
EX0089,SkiErg technique intervals,Erg,SkiErg,"[[""SkiErg""]]",Economy,Aerobic Engine,Gym,Solo OK
EX0090,Lat and pec stretch,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Fatigue Management,Home or gym,Solo OK
EX0091,Romanian deadlift,Hinge,Barbell or Dumbbell,"[[""Barbell""], [""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0092,Banded good morning,Hinge,Band,"[[""Band""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0093,Seated cable row,Upper pull,Cable machine,"[[""Cable machine""]]",Balanced Athleticism,,Gym,Solo OK
EX0094,Face pull,Upper pull,Cable machine or Band,"[[""Cable machine""], [""Band""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0095,Plank,Core,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0096,SkiErg threshold intervals,Erg,SkiErg,"[[""SkiErg""]]",Threshold,,Gym,Solo OK
EX0097,SkiErg on/off intervals,Erg,SkiErg,"[[""SkiErg""]]",Threshold,,Gym,Solo OK
EX0098,SkiErg tempo,Erg,SkiErg,"[[""SkiErg""]]",Threshold,Aerobic Engine,Gym,Solo OK
EX0099,SkiErg pyramid,Erg,SkiErg,"[[""SkiErg""]]",Threshold,,Gym,Solo OK
EX0100,Weighted pull-up,Upper pull,Pull-up bar,"[[""Pull-up bar""]]",Balanced Athleticism,,Gym,Solo OK
EX0101,Med ball slam,Med ball / throw,Med ball,"[[""Med ball""]]",Balanced Athleticism,Threshold,Home or gym,Solo OK
EX0102,Dips,Upper push,Dip bars,"[[""Dip bars""]]",Balanced Athleticism,,Gym,Solo OK
EX0103,SkiErg stroke-rate ladder,Erg,SkiErg,"[[""SkiErg""]]",Economy,Threshold,Gym,Solo OK
EX0104,SkiErg 30/30 intervals,Erg,SkiErg,"[[""SkiErg""]]",Threshold,,Gym,Solo OK
EX0105,SkiErg steady,Erg,SkiErg,"[[""SkiErg""]]",Aerobic Engine,,Gym,Solo OK
EX0106,Ski–run brick,Erg,SkiErg + None (running),"[[""SkiErg"", ""None (running)""]]",Fatigue Management,Threshold,Gym,Solo OK
EX0107,SkiErg single-arm intervals,Erg,SkiErg,"[[""SkiErg""]]",Economy,Balanced Athleticism,Gym,Solo OK
EX0108,Barbell pullover,Upper pull,Barbell + Bench,"[[""Barbell"", ""Bench""]]",Balanced Athleticism,,Gym,Solo OK
EX0109,Hanging knee raise,Core,Pull-up bar,"[[""Pull-up bar""]]",Balanced Athleticism,,Gym,Solo OK
EX0110,Weighted sit-up,Core,Plate,"[[""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0111,Good morning,Hinge,Barbell,"[[""Barbell""]]",Balanced Athleticism,,Gym,Solo OK
EX0112,Pendlay row,Upper pull,Barbell,"[[""Barbell""]]",Balanced Athleticism,,Gym,Solo OK
EX0113,Chest-supported row,Upper pull,Dumbbell + Bench,"[[""Dumbbell"", ""Bench""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0114,Toes-to-bar,Core,Pull-up bar,"[[""Pull-up bar""]]",Balanced Athleticism,,Gym,Solo OK
EX0115,Kettlebell high pull,Olympic / power,Kettlebell,"[[""Kettlebell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0116,Hollow rocks,Core,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0117,Rope climb,Upper pull,Rope,"[[""Rope""]]",Balanced Athleticism,,Gym,Solo OK
EX0118,Easy row,Erg,Rower,"[[""Rower""]]",Aerobic Engine,Fatigue Management,Gym,Solo OK
EX0119,Rowing pick drill,Erg,Rower,"[[""Rower""]]",Economy,,Gym,Solo OK
EX0120,Rowing legs-only drill,Erg,Rower,"[[""Rower""]]",Economy,,Gym,Solo OK
EX0121,Rowing pause-at-catch drill,Erg,Rower,"[[""Rower""]]",Economy,,Gym,Solo OK
EX0122,Goblet squat,Squat,Kettlebell or dumbbell,"[[""Kettlebell or dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0123,Hamstring mobility,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Fatigue Management,Home or gym,Solo OK
EX0124,Rower drag factor familiarisation,Erg,Rower,"[[""Rower""]]",Economy,,Gym,Solo OK
EX0125,Rowing arms-and-body drill,Erg,Rower,"[[""Rower""]]",Economy,,Gym,Solo OK
EX0126,Feet-out rowing,Erg,Rower,"[[""Rower""]]",Economy,,Gym,Solo OK
EX0127,Rowing technique intervals,Erg,Rower,"[[""Rower""]]",Economy,Aerobic Engine,Gym,Solo OK
EX0128,Rowing posture drill,Erg,Rower,"[[""Rower""]]",Economy,,Gym,Solo OK
EX0129,Band row,Upper pull,Band,"[[""Band""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0130,Bodyweight squat,Squat,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0131,Dumbbell row,Upper pull,Dumbbell + Bench,"[[""Dumbbell"", ""Bench""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0132,Row threshold intervals,Erg,Rower,"[[""Rower""]]",Threshold,,Gym,Solo OK
EX0133,Row steady,Erg,Rower,"[[""Rower""]]",Aerobic Engine,,Gym,Solo OK
EX0134,Row hard intervals,Erg,Rower,"[[""Rower""]]",Threshold,,Gym,Solo OK
EX0135,Row rate ladder,Erg,Rower,"[[""Rower""]]",Economy,Threshold,Gym,Solo OK
EX0136,Row 30/30 intervals,Erg,Rower,"[[""Rower""]]",Threshold,,Gym,Solo OK
EX0137,Leg press,Squat,Machine,"[[""Machine""]]",Balanced Athleticism,,Gym,Solo OK
EX0138,Seal row,Upper pull,Barbell + Bench,"[[""Barbell"", ""Bench""]]",Balanced Athleticism,,Gym,Solo OK
EX0139,Deadlift,Hinge,Barbell,"[[""Barbell""]]",Balanced Athleticism,,Gym,Solo OK
EX0140,Row max-power sprints,Erg,Rower,"[[""Rower""]]",Threshold,Balanced Athleticism,Gym,Solo OK
EX0141,Row pyramid,Erg,Rower,"[[""Rower""]]",Threshold,,Gym,Solo OK
EX0142,Row rate-capped power pieces,Erg,Rower,"[[""Rower""]]",Economy,Balanced Athleticism,Gym,Solo OK
EX0143,Front squat,Squat,Barbell,"[[""Barbell""]]",Balanced Athleticism,,Gym,Solo OK
EX0144,Back squat,Squat,Barbell,"[[""Barbell""]]",Balanced Athleticism,,Gym,Solo OK
EX0145,Back extension,Hinge,GHD,"[[""GHD""]]",Balanced Athleticism,,Gym,Solo OK
EX0146,Easy BikeErg,Erg,BikeErg,"[[""BikeErg""]]",Aerobic Engine,Fatigue Management,Gym,Solo OK
EX0147,Bike setup,Erg,BikeErg,"[[""BikeErg""]]",Economy,,Gym,Solo OK
EX0148,BikeErg cadence drill,Erg,BikeErg,"[[""BikeErg""]]",Economy,,Gym,Solo OK
EX0149,Single-leg pedalling,Erg,BikeErg,"[[""BikeErg""]]",Economy,,Gym,Solo OK
EX0150,High-cadence spin-ups,Erg,BikeErg,"[[""BikeErg""]]",Economy,,Gym,Solo OK
EX0151,BikeErg damper familiarisation,Erg,BikeErg,"[[""BikeErg""]]",Economy,,Gym,Solo OK
EX0152,Hip flexor stretch,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Fatigue Management,Home or gym,Solo OK
EX0153,Stay-seated awareness drill,Erg,BikeErg,"[[""BikeErg""]]",Economy,,Gym,Solo OK
EX0154,BikeErg aerobic intervals,Erg,BikeErg,"[[""BikeErg""]]",Aerobic Engine,,Gym,Solo OK
EX0155,Recovery spin + mobility,Erg,BikeErg,"[[""BikeErg""]]",Fatigue Management,Aerobic Engine,Gym,Solo OK
EX0156,Wall sit,Squat,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0157,Band lateral walk,Hinge,Band,"[[""Band""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0158,BikeErg threshold intervals,Erg,BikeErg,"[[""BikeErg""]]",Threshold,,Gym,Solo OK
EX0159,BikeErg tempo,Erg,BikeErg,"[[""BikeErg""]]",Threshold,Aerobic Engine,Gym,Solo OK
EX0160,BikeErg pyramid,Erg,BikeErg,"[[""BikeErg""]]",Threshold,,Gym,Solo OK
EX0161,BikeErg steady,Erg,BikeErg,"[[""BikeErg""]]",Aerobic Engine,,Gym,Solo OK
EX0162,BikeErg over-unders,Erg,BikeErg,"[[""BikeErg""]]",Threshold,,Gym,Solo OK
EX0163,BikeErg hard intervals,Erg,BikeErg,"[[""BikeErg""]]",Threshold,,Gym,Solo OK
EX0164,BikeErg big-gear strength intervals,Erg,BikeErg,"[[""BikeErg""]]",Balanced Athleticism,Threshold,Gym,Solo OK
EX0165,BikeErg seated sprints,Erg,BikeErg,"[[""BikeErg""]]",Threshold,Balanced Athleticism,Gym,Solo OK
EX0166,Leg extension,Squat,Machine,"[[""Machine""]]",Balanced Athleticism,,Gym,Solo OK
EX0167,Bike–run brick,Erg,BikeErg + None (running),"[[""BikeErg"", ""None (running)""]]",Fatigue Management,Aerobic Engine,Gym,Solo OK
EX0168,BikeErg target-watts intervals,Erg,BikeErg,"[[""BikeErg""]]",Threshold,Economy,Gym,Solo OK
EX0169,Single-leg leg press,Squat,Machine,"[[""Machine""]]",Balanced Athleticism,,Gym,Solo OK
EX0170,Easy air bike,Erg,Air bike,"[[""Air bike""]]",Aerobic Engine,Fatigue Management,Gym,Solo OK
EX0171,Air bike arms-only drill,Erg,Air bike,"[[""Air bike""]]",Economy,,Gym,Solo OK
EX0172,Air bike arm–leg coordination drill,Erg,Air bike,"[[""Air bike""]]",Economy,,Gym,Solo OK
EX0173,Air bike seat setup,Erg,Air bike,"[[""Air bike""]]",Economy,,Gym,Solo OK
EX0174,Air bike push–pull arm rhythm,Erg,Air bike,"[[""Air bike""]]",Economy,,Gym,Solo OK
EX0175,Push-up,Upper push,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0176,Air bike easy intervals,Erg,Air bike,"[[""Air bike""]]",Aerobic Engine,Economy,Gym,Solo OK
EX0177,Air bike breathing control,Erg,Air bike,"[[""Air bike""]]",Economy,Fatigue Management,Gym,Solo OK
EX0178,Air bike cool-down spin,Erg,Air bike,"[[""Air bike""]]",Fatigue Management,,Gym,Solo OK
EX0179,Incline push-up,Upper push,Box or Bench,"[[""Box""], [""Bench""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0180,Air bike hard intervals,Erg,Air bike,"[[""Air bike""]]",Threshold,,Gym,Solo OK
EX0181,Air bike 30/90 intervals,Erg,Air bike,"[[""Air bike""]]",Threshold,,Gym,Solo OK
EX0182,Air bike Tabata,Erg,Air bike,"[[""Air bike""]]",Threshold,,Gym,Solo OK
EX0183,Air bike threshold intervals,Erg,Air bike,"[[""Air bike""]]",Threshold,,Gym,Solo OK
EX0184,Air bike steady,Erg,Air bike,"[[""Air bike""]]",Aerobic Engine,,Gym,Solo OK
EX0185,Air bike calorie ladder,Erg,Air bike,"[[""Air bike""]]",Threshold,,Gym,Solo OK
EX0186,Air bike sprints,Erg,Air bike,"[[""Air bike""]]",Threshold,Balanced Athleticism,Gym,Solo OK
EX0187,Air bike EMOM,Erg,Air bike,"[[""Air bike""]]",Threshold,Durability,Gym,Solo OK
EX0188,Air bike death-by calories,Erg,Air bike,"[[""Air bike""]]",Threshold,Durability,Gym,Solo OK
EX0189,Air bike + burpee couplet,Mixed couplet,Air bike,"[[""Air bike""]]",Durability,Threshold,Gym,Solo OK
EX0190,Thruster,Squat-to-press,Barbell or Dumbbell,"[[""Barbell""], [""Dumbbell""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0191,Push press,Upper push,Barbell,"[[""Barbell""]]",Balanced Athleticism,,Gym,Solo OK
EX0192,Air bike tempo,Erg,Air bike,"[[""Air bike""]]",Threshold,Aerobic Engine,Gym,Solo OK
EX0193,Air bike 40/20 intervals,Erg,Air bike,"[[""Air bike""]]",Threshold,,Gym,Solo OK
EX0194,Air bike–run intervals,Mixed couplet,Air bike + None (running),"[[""Air bike"", ""None (running)""]]",Fatigue Management,Threshold,Gym,Solo OK
EX0195,Sled push,Sled,Sled,"[[""Sled""]]",Balanced Athleticism,Durability,Gym,Solo OK
EX0196,Dumbbell thruster,Squat-to-press,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0197,Burpee,Burpee,Bodyweight,"[[""Bodyweight""]]",Durability,Threshold,Home or gym,Solo OK
EX0198,Pull-up,Upper pull,Pull-up bar,"[[""Pull-up bar""]]",Balanced Athleticism,,Gym,Solo OK
EX0199,Wall ball,Med ball / throw,Wall ball,"[[""Wall ball""]]",Durability,Balanced Athleticism,Gym,Solo OK
EX0200,Wall-lean march,Sled,Bodyweight,"[[""Bodyweight""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0201,Sled push technique,Sled,Sled,"[[""Sled""]]",Economy,,Gym,Solo OK
EX0202,Bear hold,Crawl,Bodyweight or Plate,"[[""Bodyweight""], [""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0203,Glute bridge march,Hinge,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0204,Box squat,Squat,Barbell or Kettlebell + Box,"[[""Barbell""], [""Kettlebell"", ""Box""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0205,Plank shoulder taps,Core,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0206,Bear crawl,Crawl,Bodyweight,"[[""Bodyweight""]]",Durability,Balanced Athleticism,Home or gym,Solo OK
EX0207,Pause squat,Squat,Bodyweight or Kettlebell,"[[""Bodyweight""], [""Kettlebell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0208,Front-foot-elevated split squat,Lunge / single-leg,Bodyweight or Dumbbell + Plate,"[[""Bodyweight""], [""Dumbbell"", ""Plate""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0209,Low-handle sled push,Sled,Sled,"[[""Sled""]]",Balanced Athleticism,Economy,Gym,Solo OK
EX0210,Isometric wall push,Sled,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Economy,Home or gym,Solo OK
EX0211,Hack squat or belt squat,Squat,Machine,"[[""Machine""]]",Balanced Athleticism,,Gym,Solo OK
EX0212,Sled contrast,Sled,Sled,"[[""Sled""]]",Balanced Athleticism,Economy,Gym,Solo OK
EX0213,Acceleration sprints,Running,None (running),"[[""None (running)""]]",Economy,Balanced Athleticism,Outdoor or track,Solo OK
EX0214,Leg-press calf raise,Lower leg,Machine,"[[""Machine""]]",Balanced Athleticism,,Gym,Solo OK
EX0215,Sled march,Sled,Sled,"[[""Sled""]]",Balanced Athleticism,Durability,Gym,Solo OK
EX0216,Pause back squat,Squat,Barbell,"[[""Barbell""]]",Balanced Athleticism,,Gym,Solo OK
EX0217,Tempo back squat,Squat,Barbell,"[[""Barbell""]]",Balanced Athleticism,,Gym,Solo OK
EX0218,Hand-over-hand rope pull,Upper pull,Rope + Sled,"[[""Rope"", ""Sled""]]",Economy,Balanced Athleticism,Gym,Solo OK
EX0219,Farmers hold,Carry & grip,Kettlebell or dumbbell,"[[""Kettlebell or dumbbell""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0220,Goblet squat hold,Squat,Kettlebell or dumbbell,"[[""Kettlebell or dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0221,Backward sled drag,Sled,Sled,"[[""Sled""]]",Balanced Athleticism,Durability,Gym,Solo OK
EX0222,Renegade row,Upper pull,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0223,Inverted row,Upper pull,Pull-up bar,"[[""Pull-up bar""]]",Balanced Athleticism,,Gym,Solo OK
EX0224,Lat pulldown,Upper pull,Machine,"[[""Machine""]]",Balanced Athleticism,,Gym,Solo OK
EX0225,Rear-delt fly,Upper pull,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0226,Dead hang,Carry & grip,Pull-up bar,"[[""Pull-up bar""]]",Balanced Athleticism,,Gym,Solo OK
EX0227,Biceps curl,Upper pull,Dumbbell,"[[""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0228,Seated rope pull,Upper pull,Rope + Sled,"[[""Rope"", ""Sled""]]",Economy,Balanced Athleticism,Gym,Solo OK
