id,station_id,sort_order,name,dose,session_type,primary_pillar,secondary_pillar,load,where_setting,best_with,courage
RS0032,shortrun,2,500 m repeats at race pace,"10 × 500 m, 90 s rest (DEKA FIT)",Race pace,Threshold,Durability,High,Gym,Solo OK,
RS0033,shortrun,3,800 m repeats at race pace,4 × 800 m (Paladin legs),Race pace,Threshold,,High,Gym,Solo OK,
RS0034,shortrun,4,400 m run–KB deadlift–400 m run,60 KB deadlifts between,Compromised (brick),Fatigue Management,Threshold,High,Outdoor or track,Solo OK,
RS0035,shortrun,5,400 m run off farmers carry,,Compromised (brick),Fatigue Management,Threshold,Moderate,Outdoor or track,Solo OK,
RS0036,shortrun,6,400 m run off bear crawl,,Compromised (brick),Fatigue Management,Threshold,Moderate,Outdoor or track,Solo OK,
RS0037,shortrun,7,500 m run off air bike,,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0038,shortrun,8,500 m run off RAM reverse lunges,,Compromised (brick),Fatigue Management,Threshold,Moderate,Gym,Solo OK,
RS0039,shortrun,9,800 m run off BikeErg,,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0040,shortrun,10,Settle drill,Race pace within 100 m of leaving a station,Strategy & pacing,Economy,Fatigue Management,Moderate,Gym,Solo OK,
RS0041,shortrun,11,Even 400 m splits,Within ±3 s,Strategy & pacing,Economy,Threshold,Moderate,Outdoor or track,Solo OK,
RS0042,shortrun,12,Doubles 400 m hand-off relay,,Doubles,Threshold,,High,Outdoor or track,Partner or group,
RS0043,shortrun,13,Half Deadly Dozen simulation,6 × 400 m + 6 labours,Simulation,Durability,Threshold,High,Gym,Group,Race rehearsal
RS0044,shortrun,14,Full Deadly Dozen simulation,12 × 400 m + 12 labours,Simulation,Durability,Threshold,High,Gym,Group,Race rehearsal
RS0045,shortrun,15,DEKA FIT simulation,10 × 500 m + 10 zones,Simulation,Durability,Threshold,High,Gym,Group,Race rehearsal
RS0046,shortrun,16,Paladin Warrior simulation,800 m legs + zones,Simulation,Durability,Threshold,High,Gym,Group,Race rehearsal
RS0047,shortrun,17,Short-course lap counting,,Transition,Economy,,Low,Outdoor or track,Solo OK,
RS0048,shortrun,18,Transition-zone entry and exit drill,,Transition,Economy,,Low,Outdoor or track,Solo OK,
RS0049,shortrun,19,"Quick start, then settle","Quick first 100 m, then settle to pace",Strategy & pacing,Economy,Threshold,Moderate,Outdoor or track,Solo OK,
RS0050,shortrun,20,400 m repeats with station reps between,20 reps of a station between each,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0051,shortrun,21,400 m repeats alternating race pace and float,,Race pace,Threshold,Aerobic Engine,High,Outdoor or track,Solo OK,
RS0052,shortrun,22,400 m run + KB swings,4 × (400 m + 60 swings),Compromised (brick),Fatigue Management,Durability,High,Outdoor or track,Solo OK,
RS0053,shortrun,23,DEKA MILE simulation,,Simulation,Durability,Threshold,High,Gym,Group,Race rehearsal
RS0054,shortrun,24,500 m run off med ball sit-ups,Hold race pace,Compromised (brick),Fatigue Management,Threshold,Moderate,Outdoor or track,Solo OK,
RS0055,shortrun,25,Negative-split final 400 m drill,,Strategy & pacing,Economy,Threshold,Moderate,Outdoor or track,Solo OK,
RS0056,ski,1,SkiErg time trial,1000 m,Test / time trial,Threshold,,High,Gym,Coach or partner,Test
RS0057,ski,2,SkiErg at goal split,1000 m at goal 500 m split,Race pace,Threshold,,High,Gym,Solo OK,
RS0058,ski,3,SkiErg race-pace repeats,"2 × 500 m, 60 s rest",Race pace,Threshold,,High,Gym,Solo OK,
RS0059,ski,4,SkiErg goal-split repeats,"4 × 250 m, 30 s rest",Race pace,Threshold,Economy,High,Gym,Solo OK,
RS0060,ski,5,SkiErg goal pace + surge,800 m goal pace + 200 m surge,Race pace,Threshold,,High,Gym,Solo OK,Finish surge
RS0061,ski,6,Hard run into SkiErg,1 km hard run + 1000 m ski,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0062,ski,7,Run–ski–run,1 km run → 1000 m ski → 1 km run,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0063,ski,8,SkiErg straight into sled push,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0064,ski,9,SkiErg damper and pacing rehearsal,,Strategy & pacing,Economy,,Moderate,Gym,Solo OK,Race rehearsal
RS0065,ski,10,SkiErg breathing rhythm at race pace,Exhale on pull,Technique & standards,Economy,,Moderate,Gym,Coach helpful,
RS0066,ski,11,SkiErg race-pace repeats,"3 × 1000 m, 3 min rest",Race pace,Threshold,Durability,High,Gym,Solo OK,
RS0067,ski,12,SkiErg split consistency,Every 250 m within 2 s,Strategy & pacing,Economy,Threshold,Moderate,Gym,Solo OK,
RS0068,ski,13,SkiErg station entry and fast start,,Transition,Economy,,Low,Gym,Solo OK,
RS0069,ski,14,SkiErg after wall balls,After 50 wall balls (upper-body pre-fatigue),Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0070,ski,15,Ski → run → sled push,Race order,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0071,ski,16,Race-day warm-up rehearsal,,Race prep,Economy,Fatigue Management,Low,Gym,Solo OK,Race rehearsal
RS0072,ski,17,SkiErg hand position and handle-height test,,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0073,ski,18,SkiErg even vs negative split comparison,2 × 1000 m,Strategy & pacing,Economy,Threshold,High,Gym,Solo OK,
RS0074,ski,19,SkiErg doubles alternating,250 m above race pace,Doubles,Threshold,,High,Gym,Partner or group,
RS0075,ski,20,SkiErg at end of threshold run,After threshold run session,Compromised (brick),Durability,Fatigue Management,High,Gym,Solo OK,
RS0076,row,1,Row time trial,1000 m,Test / time trial,Threshold,,High,Gym,Coach or partner,Test
RS0077,row,2,Row at goal split,1000 m at goal 500 m split,Race pace,Threshold,,High,Gym,Solo OK,
RS0078,row,3,Row negative split,1000 m,Strategy & pacing,Economy,Threshold,High,Gym,Solo OK,
RS0079,row,4,Row race-pace repeats,2 × 500 m,Race pace,Threshold,,High,Gym,Solo OK,
RS0080,row,5,Row stroke-rate lock,At race rate,Technique & standards,Economy,Threshold,Moderate,Gym,Coach helpful,
RS0081,row,6,Row controlled start,First 250 m (heart-rate settle),Strategy & pacing,Economy,Fatigue Management,Moderate,Gym,Solo OK,
RS0082,row,7,Row fast setup,Feet strapped in under 10 s,Transition,Economy,,Low,Gym,Solo OK,
RS0083,row,8,Burpee broad jumps → row,,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0084,row,9,Run → row → run,,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0085,row,10,Row straight into farmers carry,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0086,row,11,Row race-pace repeats,3 × 1000 m,Race pace,Threshold,Durability,High,Gym,Solo OK,
RS0087,row,12,Row → 1 km run pace check,,Compromised (brick),Fatigue Management,Economy,Moderate,Gym,Solo OK,
RS0088,row,13,Row split consistency,Every 250 m within 2 s,Strategy & pacing,Economy,Threshold,Moderate,Gym,Solo OK,
RS0089,row,14,Row race-day damper setting,,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0090,row,15,Row fast unstrap and exit,,Transition,Economy,,Low,Gym,Solo OK,
RS0091,row,16,Row from raised heart rate,After 2 min burpees,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0092,row,17,Row doubles alternating,250 m,Doubles,Threshold,,High,Gym,Partner or group,
RS0093,row,18,Row negative-split repeats,2 × 500 m,Strategy & pacing,Economy,Threshold,High,Gym,Solo OK,
RS0094,row,19,Row finishing surge,Last 200 m,Strategy & pacing,Threshold,,High,Gym,Solo OK,Finish surge
RS0095,row,20,Row breathing rhythm,Two breaths per stroke,Technique & standards,Economy,,Moderate,Gym,Coach helpful,
RS0096,bike,1,BikeErg time trial,2000 m,Test / time trial,Threshold,,High,Gym,Coach or partner,Test
RS0097,bike,2,BikeErg time trial,4000 m,Test / time trial,Threshold,Durability,High,Gym,Coach or partner,Test
RS0098,bike,3,BikeErg at goal split,2000 m,Race pace,Threshold,,High,Gym,Solo OK,
RS0099,bike,4,BikeErg even-paced at goal power,4000 m,Race pace,Threshold,Durability,High,Gym,Solo OK,
RS0100,bike,5,BikeErg race-pace repeats,6 × 800 m (Deadly ERG 2),Race pace,Threshold,,High,Gym,Solo OK,
RS0101,bike,6,BikeErg time trial,1.6 km (Deadly ERG),Test / time trial,Threshold,,High,Gym,Coach or partner,Test
RS0102,bike,7,BikeErg → box overs,2000 m bike → 50 box overs (Paladin Zone 2),Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0103,bike,8,SkiErg → BikeErg transition,,Transition,Economy,Fatigue Management,Moderate,Gym,Solo OK,
RS0104,bike,9,BikeErg → dead-ball lunges,Leg fatigue,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0105,bike,10,BikeErg → 800 m run,,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0106,bike,11,BikeErg negative split,2000 m,Strategy & pacing,Economy,Threshold,High,Gym,Solo OK,
RS0107,bike,12,BikeErg cadence lock at race rpm,,Technique & standards,Economy,,Moderate,Gym,Coach helpful,
RS0108,bike,13,BikeErg stay-seated finish,Hand signal to judge,Technique & standards,Economy,,Low,Gym,Coach or partner,
RS0109,bike,14,BikeErg fast setup,Saddle adjusted in under 15 s,Transition,Economy,,Low,Gym,Solo OK,
RS0110,bike,15,BikeErg damper selection test,,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0111,bike,16,BikeErg from raised heart rate,After 1 km ski,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0112,bike,17,BikeErg final surge,Last 500 m,Strategy & pacing,Threshold,,High,Gym,Solo OK,Finish surge
RS0113,bike,18,BikeErg fuelling and hydration practice,4000 m,Race prep,Fatigue Management,Durability,Moderate,Gym,Solo OK,
RS0114,bike,19,BikeErg doubles alternating,500 m,Doubles,Threshold,,High,Gym,Partner or group,
RS0115,bike,20,Paladin Endurance Zone 2 simulation,4000 m bike + 100 m lunges,Simulation,Durability,Fatigue Management,High,Gym,Group,Race rehearsal
RS0116,airbike,1,Air bike for time,24 cal,Test / time trial,Threshold,,High,Gym,Coach or partner,Test
RS0117,airbike,2,Air bike for time,25 cal,Test / time trial,Threshold,,High,Gym,Coach or partner,Test
RS0118,airbike,3,Deadly Air Bike blocks,12 × 24 cal with a labour between,Simulation,Durability,Threshold,High,Gym,Group,Race rehearsal
RS0119,airbike,4,DEKA zones 6–8 sequence,Farmers carry → 25 cal → dead-ball overs,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0120,airbike,5,Air bike calorie-rate pacing,Target cal/min,Strategy & pacing,Economy,Threshold,Moderate,Gym,Solo OK,
RS0121,airbike,6,Air bike start drill,First 5 s of power,Technique & standards,Economy,,Moderate,Gym,Coach helpful,
RS0122,airbike,7,Air bike even pace vs sprint start test,,Strategy & pacing,Economy,Threshold,High,Gym,Solo OK,
RS0123,airbike,8,Air bike from raised heart rate,,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0124,airbike,9,Air bike → 400 m run,,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0125,airbike,10,Air bike → 500 m run,DEKA FIT,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0126,airbike,11,Air bike arms-led vs legs-led test,,Strategy & pacing,Economy,,Moderate,Gym,Solo OK,
RS0127,airbike,12,Air bike after KB deadlifts,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0128,airbike,13,Air bike → devil press,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0129,airbike,14,Air bike race-pace repeats,"5 × 24 cal, 90 s rest",Race pace,Threshold,,High,Gym,Solo OK,
RS0130,airbike,15,Air bike breathing reset,,Technique & standards,Economy,Fatigue Management,Low,Gym,Coach helpful,
RS0131,airbike,16,Air bike fast setup,,Transition,Economy,,Low,Gym,Solo OK,
RS0132,airbike,17,Air bike doubles alternating,12 cal,Doubles,Threshold,,High,Gym,Partner or group,
RS0133,airbike,18,Air bike final surge,Last 5 cal,Strategy & pacing,Threshold,,High,Gym,Solo OK,Finish surge
RS0134,airbike,19,Air bike under grip fatigue,After carries,Compromised (brick),Fatigue Management,Durability,Moderate,Gym,Solo OK,
RS0135,airbike,20,Air bike overload repeats,30 cal repeats,Overload,Threshold,Durability,High,Gym,Solo OK,Overload
RS0136,push,1,Sled push race lanes,4 × 12.5 m at race weight,Race pace,Balanced Athleticism,Threshold,High,Gym,Solo OK,
RS0137,push,2,Sled push unbroken,50 m at race weight,Race pace,Durability,Balanced Athleticism,High,Gym,Solo OK,
RS0138,push,3,Sled push overload,110–120% race weight × 12.5 m,Overload,Balanced Athleticism,,High,Gym,Solo OK,Overload
RS0139,push,4,Sled push lane-end turn and re-drive,,Technique & standards,Economy,,Moderate,Gym,Coach helpful,
RS0140,push,5,1 km run → sled push,50 m push,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0141,push,6,SkiErg → sled push,1000 m SkiErg first,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0142,push,7,Sled push on race-type turf,,Race prep,Economy,,Moderate,Gym,Solo OK,Race rehearsal
RS0143,push,8,Sled push → 1 km run,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0144,push,9,Sled push handle position test,High vs low,Technique & standards,Economy,,Moderate,Gym,Coach helpful,
RS0145,push,10,Sled push race-weight EMOM,12.5 m every minute × 8,Race pace,Durability,Threshold,High,Gym,Group-friendly,
RS0146,push,11,Sled push for speed,80% race weight,Technique & standards,Economy,Balanced Athleticism,Moderate,Gym,Coach helpful,
RS0147,push,12,Sled push stride drill,"Short, fast steps",Technique & standards,Economy,,Moderate,Gym,Coach helpful,
RS0148,push,13,Sled push start drill,First three steps,Technique & standards,Economy,Balanced Athleticism,Moderate,Gym,Coach helpful,
RS0149,push,14,Sled push breathing under load,,Technique & standards,Economy,,Moderate,Gym,Coach helpful,
RS0150,push,15,Sled push on a sticky surface,Slow surface,Overload,Balanced Athleticism,Durability,High,Gym,Solo OK,Overload
RS0151,push,16,Sled push after tempo run,After 20 min tempo,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0152,push,17,Push → run → pull,Race order,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0153,push,18,Sled push doubles alternating,12.5 m,Doubles,Threshold,,High,Gym,Partner or group,
RS0154,push,19,Sled push time target,50 m at race weight,Race pace,Threshold,Balanced Athleticism,High,Gym,Solo OK,
RS0155,push,20,Sled push arm position test,Locked vs bent,Technique & standards,Economy,,Moderate,Gym,Coach helpful,
RS0156,pull,1,Sled pull race lanes,4 × 12.5 m at race weight,Race pace,Balanced Athleticism,Threshold,High,Gym,Solo OK,
RS0157,pull,2,Sled pull unbroken,50 m at race weight,Race pace,Durability,Balanced Athleticism,High,Gym,Solo OK,
RS0158,pull,3,Sled pull hip-drive drill,Athletic stance,Technique & standards,Economy,Balanced Athleticism,Moderate,Gym,Coach helpful,
RS0159,pull,4,Sled pull walk-back technique,Drive through legs,Technique & standards,Economy,,Moderate,Gym,Coach helpful,
RS0160,pull,5,Sled pull rope management,Lay-down efficiency,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0161,pull,6,Sled push → sled pull,Back to back,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0162,pull,7,Sled pull overload,110–120% race weight,Overload,Balanced Athleticism,,High,Gym,Solo OK,Overload
RS0163,pull,8,1 km run → sled pull,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0164,pull,9,Sled pull → burpee broad jumps,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0165,pull,10,Sled pull race-weight EMOM,12.5 m every minute × 8,Race pace,Durability,Threshold,High,Gym,Group-friendly,
RS0166,pull,11,Sled pull gloves vs bare hands test,,Race prep,Economy,,Low,Gym,Solo OK,
RS0167,pull,12,Sled pull setup drill,Stay behind the pull line,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0168,pull,13,Sled pull for speed,80% race weight,Technique & standards,Economy,Balanced Athleticism,Moderate,Gym,Coach helpful,
RS0169,pull,14,Sled pull rope grip reset drill,,Technique & standards,Economy,,Low,Gym,Coach helpful,
RS0170,pull,15,Push → run → pull,Race order,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0171,pull,16,Sled pull breathing under load,,Technique & standards,Economy,,Moderate,Gym,Coach helpful,
RS0172,pull,17,Sled pull doubles alternating,12.5 m,Doubles,Threshold,,High,Gym,Partner or group,
RS0173,pull,18,Sled pull time target,50 m at race weight,Race pace,Threshold,Balanced Athleticism,High,Gym,Solo OK,
RS0174,pull,19,Sled pull with pre-fatigued grip,After dead hang,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0175,pull,20,Sled pull on race-type turf,,Race prep,Economy,,Moderate,Gym,Solo OK,Race rehearsal
RS0176,farm,1,Farmers carry unbroken,200 m at race weight,Race pace,Durability,Balanced Athleticism,High,Home or gym,Solo OK,
RS0177,farm,2,Farmers carry race-weight repeats,2 × 100 m,Race pace,Durability,Balanced Athleticism,Moderate,Home or gym,Solo OK,
RS0178,farm,3,Farmers carry overweight,200 m,Overload,Balanced Athleticism,Durability,High,Home or gym,Solo OK,Overload
RS0179,farm,4,Farmers carry walk vs jog test,,Strategy & pacing,Economy,,Moderate,Home or gym,Solo OK,
RS0180,farm,5,Farmers carry turn efficiency drill,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0181,farm,6,Farmers carry pick-up and set-down technique,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0182,farm,7,Row → farmers carry,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0183,farm,8,Farmers carry → sandbag lunges,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0184,farm,9,1 km run → farmers carry,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0185,farm,10,Farmers carry with pre-fatigued grip,After 30 s dead hang,Compromised (brick),Fatigue Management,Durability,Moderate,Home or gym,Solo OK,
RS0186,farm,11,Farmers carry set-down strategy,Planned single set-down,Strategy & pacing,Economy,,Moderate,Home or gym,Solo OK,
RS0187,farm,12,Grip pacing and shake-out plan,,Strategy & pacing,Economy,Fatigue Management,Low,Home or gym,Solo OK,
RS0188,farm,13,Farmers carry at a jog,Race weight,Race pace,Threshold,Durability,High,Home or gym,Solo OK,
RS0189,farm,14,Farmers carry after SkiErg,After 1000 m SkiErg (lat fatigue),Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0190,farm,15,Run → farmers carry → run,1 km runs,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0191,farm,16,Farmers carry doubles alternating,50 m,Doubles,Threshold,,Moderate,Home or gym,Partner or group,
RS0192,farm,17,Chalk vs no chalk test,Farmers carry,Race prep,Economy,,Low,Home or gym,Solo OK,
RS0193,farm,18,Farmers carry overweight repeats,2 × 100 m,Overload,Balanced Athleticism,Durability,High,Home or gym,Solo OK,Overload
RS0194,farm,19,Farmers carry from raised heart rate,After 1 min burpees,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0195,farm,20,Farmers carry time target,200 m at race weight,Race pace,Threshold,Durability,High,Home or gym,Solo OK,
RS0196,frontcarry,1,Plate front carry at race weight,240 m,Race pace,Durability,Balanced Athleticism,High,Home or gym,Solo OK,
RS0197,frontcarry,2,Plate overhead carry at race weight,180 m,Race pace,Durability,Balanced Athleticism,High,Home or gym,Solo OK,
RS0198,frontcarry,3,Carry shuttle turns,Every 10 m,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0199,frontcarry,4,Front/overhead carry set-down strategy,,Strategy & pacing,Economy,,Moderate,Home or gym,Solo OK,
RS0200,frontcarry,5,Front carry → push press,DD rounds 7–8,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0201,frontcarry,6,Clean & press → overhead carry,DD rounds 10–11,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0202,frontcarry,7,Overhead carry → devil press,DD rounds 11–12,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0203,frontcarry,8,Front carry → 400 m run,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0204,frontcarry,9,Front carry jog vs walk test,,Strategy & pacing,Economy,,Moderate,Home or gym,Solo OK,
RS0205,frontcarry,10,Plate front carry overweight,30 kg,Overload,Balanced Athleticism,Durability,High,Home or gym,Solo OK,Overload
RS0206,frontcarry,11,Plate overhead carry overweight,20 kg,Overload,Balanced Athleticism,Durability,High,Home or gym,Solo OK,Overload
RS0207,frontcarry,12,Plate carry race-weight repeats,2 × 120 m,Race pace,Durability,Balanced Athleticism,Moderate,Home or gym,Solo OK,
RS0208,frontcarry,13,Overhead lockout under fatigue,,Technique & standards,Economy,Durability,Moderate,Home or gym,Coach helpful,
RS0209,frontcarry,14,Breathing behind the plate,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0210,frontcarry,15,Plate grip choice test,Rim vs pinch,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0211,frontcarry,16,Front/overhead carry from raised heart rate,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0212,frontcarry,17,Sandbag carry,60 m,Race pace,Durability,Balanced Athleticism,Moderate,Home or gym,Solo OK,
RS0213,frontcarry,18,Plate carry doubles alternating,40 m,Doubles,Threshold,,Moderate,Home or gym,Partner or group,
RS0214,frontcarry,19,Plate front carry time target,240 m,Race pace,Threshold,Durability,High,Home or gym,Solo OK,
RS0215,frontcarry,20,Carry after bear crawl,Shoulder fatigue,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0216,lunge,1,Lunges at race weight,100 m,Race pace,Durability,Balanced Athleticism,High,Home or gym,Solo OK,
RS0217,lunge,2,Lunge race-pace repeats,4 × 25 m,Race pace,Durability,Threshold,Moderate,Home or gym,Solo OK,
RS0218,lunge,3,Lunges with overweight bag,50 m,Overload,Balanced Athleticism,Durability,High,Home or gym,Solo OK,Overload
RS0219,lunge,4,Knee-touch standard drill,,Technique & standards,Economy,,Low,Home or gym,Coach or partner,
RS0220,lunge,5,Lunge cadence and step-length drill,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0221,lunge,6,Sandbag setup and repositioning drill,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0222,lunge,7,Lunge breathing rhythm drill,,Technique & standards,Economy,,Low,Home or gym,Coach helpful,
RS0223,lunge,8,Farmers carry → lunges,,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0224,lunge,9,Lunges → wall balls,,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0225,lunge,10,Run → lunges → run,1 km run → 100 m lunges → 1 km run,Compromised (brick),Fatigue Management,Durability,High,Home or gym,Solo OK,
RS0226,lunge,11,Lunges continuous,"100 m, no set-down",Race pace,Durability,,High,Home or gym,Solo OK,
RS0227,lunge,12,Lunge race-weight repeats,2 × 50 m,Race pace,Durability,Balanced Athleticism,Moderate,Home or gym,Solo OK,
RS0228,lunge,13,Lunges after heavy sled push,Quad fatigue,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0229,lunge,14,Lunge doubles alternating,25 m,Doubles,Threshold,,Moderate,Home or gym,Partner or group,
RS0230,lunge,15,Lunge time target,100 m,Race pace,Threshold,Durability,High,Home or gym,Solo OK,
